"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CL21A106KOQNNNG","Samsung Electro-Mechanics","1276-6455-1-ND","Capacitor, 10uF","","Cut Tape (CT)","Active","9","0.13000","$1.17","51329","22 Weeks","CAP CER 10UF 16V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21B104KBCNNNC","Samsung Electro-Mechanics","1276-1003-1-ND","Capacitor, 0.1uF","","Cut Tape (CT)","Active","14","0.05400","$0.75","3598","22 Weeks","CAP CER 0.1UF 50V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21B105KOFNNNG","Samsung Electro-Mechanics","1276-6471-1-ND","Capacitor, 1uF","","Cut Tape (CT)","Active","25","0.06300","$1.57","84780","22 Weeks","CAP CER 1UF 16V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"EEE-FT1V101AP","Panasonic Electronic Components","PCE5016CT-ND","Capacitor, 100uF","","Cut Tape (CT)","Active","6","0.56000","$3.36","141712","17 Weeks","CAP ALUM 100UF 20% 35V SMD","RoHS Compliant","Lead free","Not Available"
"LTST-C171TBKT","Lite-On Inc.","160-1645-1-ND","LED, Blue","","Cut Tape (CT)","Active","1","0.46000","$0.46","129189","12 Weeks","LED BLUE CLEAR CHIP SMD","ROHS3 Compliant","Lead free","Not Available"
"LTST-C171KGKT","Lite-On Inc.","160-1426-1-ND","LED, Green","","Cut Tape (CT)","Active","2","0.28000","$0.56","108682","12 Weeks","LED GREEN CLEAR SMD","ROHS3 Compliant","Lead free","Not Available"
"PPPC062LJBN-RC","Sullins Connector Solutions","S5559-ND","PMOD Header","","Tray","Active","10","1.11500","$11.15","9973","5 Weeks","CONN HDR 12POS 0.1 GOLD PCB R/A","ROHS3 Compliant","Lead free","REACH Unaffected"
"0039301020","Molex","WM1351-ND","Power connector","","Bulk","Active","3","0.57000","$1.71","12848","5 Weeks","CONN HEADER R/A 2POS","ROHS3 Compliant","Lead free","REACH Unaffected"
"USB4105-GF-A","GCT","2073-USB4105-GF-ACT-ND","USB Type-C Connector","","Cut Tape (CT)","Active","1","1.73000","$1.73","509","7 Weeks","CONN RCPT USB2.0 TYPEC 5A","ROHS3 Compliant","Not Available","Not Available"
"DMG3401LSN-7","Diodes Incorporated","DMG3401LSN-7DICT-ND","Reverse-voltage protection FETs","","Cut Tape (CT)","Active","2","0.48000","$0.96","121857","15 Weeks","MOSFET P-CH 30V 3A SC59","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805FT330R","Stackpole Electronics Inc","RMCF0805FT330RCT-ND","Resistor, 330R","","Cut Tape (CT)","Active","9","0.10000","$0.90","120483","20 Weeks","RES 330 OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805FT10K0","Stackpole Electronics Inc","RMCF0805FT10K0CT-ND","Resistor, 10K","","Cut Tape (CT)","Active","8","0.10000","$0.80","1844634","20 Weeks","RES 10K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805FT5K10","Stackpole Electronics Inc","RMCF0805FT5K10CT-ND","Resistor, 5.1K","","Cut Tape (CT)","Active","2","0.10000","$0.20","53396","20 Weeks","RES 5.1K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ICE40HX4K-TQ144","Lattice Semiconductor Corporation","220-1572-ND","HX4K FPGA","","Tray","Active","1","6.31000","$6.31","441","8 Weeks","IC FPGA 107 I/O 144TQFP","ROHS3 Compliant","Lead free","REACH Unaffected"
"W25Q128JVSIM","Winbond Electronics","W25Q128JVSIM-ND","Bitstream flash","","Tube","Active","1","1.40000","$1.40","0","10 Weeks","IC FLASH 128M SPI 133MHZ 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"STM32F070CBT6","STMicroelectronics","497-15099-ND","Interface MCU","","Tray","Active","1","2.38000","$2.38","1860","10 Weeks","IC MCU 32BIT 128KB FLASH 48LQFP","ROHS3 Compliant","Lead free","REACH Unaffected"
"CLMVC-FKA-CL1D1L71BB7C3C3","Cree Inc.","CLMVC-FKA-CL1D1L71BB7C3C3CT-ND","RGB LED","","Cut Tape (CT)","Active","2","0.19000","$0.38","43616","7 Weeks","LED RGB CLEAR 4PLCC SMD","RoHS Compliant","Lead free","Not Available"
"AZ1117CH-3.3TRG1","Diodes Incorporated","AZ1117CH-3.3TRG1DICT-ND","3.3V LDO","","Cut Tape (CT)","Active","1","0.43000","$0.43","24536","11 Weeks","IC REG LINEAR 3.3V 800MA SOT223","ROHS3 Compliant","Lead free","REACH Unaffected"
"AZ1117CH-1.2TRG1","Diodes Incorporated","AZ1117CH-1.2TRG1DICT-ND","1.2V LDO (FPGA Core)","","Cut Tape (CT)","Active","1","0.38000","$0.38","5022","24 Weeks","IC REG LINEAR 1.2V 800MA SOT223","ROHS3 Compliant","Lead free","REACH Unaffected"
"ECS-2520MV-120-BN-TR","ECS Inc.","XC2749CT-ND","12 MHz Oscillator","","Cut Tape (CT)","Active","1","1.00000","$1.00","3652","13 Weeks","XTAL OSC XO 12.0000MHZ CMOS SMD","ROHS3 Compliant","Lead free","Not Available"